,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,month_added,month_name_added,year_added,listed_in_1,listed_in_2,listed_in_3,duration_seasons
184,TV Show,Sparking Joy,Data not available,Marie Kondo,United States,2021-08-31,2021,TV-PG,1 Season,Reality TV,"In this reality series, Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life — and shares her own world.",8,August,2021,Reality TV,0,0,1
186,TV Show,Hometown Cha-Cha-Cha,Data not available,"Shin Min-a, Kim Seon-ho, Lee Sang-yi, Gong Min-jeung, Kim Young-ok, Cho Han-cheul, In Gyo-jin, Lee Bong-ryeon, Cha Cheong-hwa, Kang Hyung-suk",United States,2021-08-29,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.",8,August,2021,International TV Shows, Romantic TV Shows, TV Comedies,1
187,TV Show,The Ingenuity of the Househusband,Data not available,Kenjiro Tsuda,United States,2021-08-29,2021,TV-G,1 Season,"International TV Shows, TV Comedies",A tough guy with a knack for housework tackles household tasks with meticulous care in these comedic live-action vignettes.,8,August,2021,International TV Shows, TV Comedies,0,1
189,TV Show,Bread Barbershop,Data not available,"Um Sang-hyun, Park Yoon-hee, Kang Shi-hyun, Hong Bum-ki, Kim Hyun-wook, Lee In-suk, Song Ha-rim",United States,2021-08-28,2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies","In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood.",8,August,2021,Kids' TV, TV Comedies,0,2
193,TV Show,D.P.,Data not available,"Jung Hae-in, Koo Kyo-hwan, Kim Sung-kyun, Son Suk-ku",", South Korea",2021-08-27,2021,TV-MA,1 Season,"International TV Shows, TV Dramas",A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.,8,August,2021,International TV Shows, TV Dramas,0,1
194,TV Show,Deadly Sins,Data not available,"Frank Ramirez, Patricia Castañeda, Chela del Río, Patrick Delmas, María José Martínez, Robinson Díaz, Juan Ángel, Guillermo Olarte, Constanza Duque, Marcela Carvajal",United States,2021-08-27,2002,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see who's worthy of inheriting his fortune.,8,August,2021,International TV Shows, Spanish-Language TV Shows, TV Dramas,1
197,TV Show,I Heart Arlo,Data not available,"Michael J. Woodard, Mary Lambert, Jonathan Van Ness, Haley Tju, Brett Gelman, Tony Hale, Vincent Rodriguez III, Annie Potts, Jessica Williams, Melissa Villaseñor, Cathy Vu, Jennifer Coolidge, Flea",United States,2021-08-27,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",It's a whole new world for Arlo and his one-of-a kind pals when they set out to restore a run-down New York City neighborhood — and make it their own.,8,August,2021,Kids' TV, TV Comedies,0,1
198,TV Show,King of Boys: The Return of the King,Kemi Adetiba,"Sola Sobowale, Toni Tones, Richard Mofe-Damijo, Efa Iwara, Titi Kuti, Tobechukwu ""iLLbliss"" Ejiofor, Remilekun ""Reminisce"" Safaru, Charles  ""Charly Boy"" Oputa, Nse Ikpe-Etim, Keppy Ekpenyong Bassey, Bimbo Manuel, Akin Lewis, Lord Frank, Osas Ighodaro, Taiwo Ajai-Lycett, Paul Sambo",Nigeria,2021-08-27,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness.",8,August,2021,Crime TV Shows, International TV Shows, TV Dramas,1
212,TV Show,Rebellion,Data not available,"Charlie Murphy, Ruth Bradley, Sarah Greene, Brian Gleeson, Michelle Fairley, Ian McElhinney, Michael Ford-FitzGerald, Paul Reid, Barry Ward, Tom Turner, Perdita Weeks, Andrew Simpson, Sophie Robinson",Ireland,2021-08-27,2016,TV-MA,2 Seasons,"International TV Shows, TV Dramas","As World War I rages, three women and their families in Dublin choose sides in the violent Easter Rising revolt against British rule.",8,August,2021,International TV Shows, TV Dramas,0,2
213,TV Show,RIDE ON TIME,Data not available,"King & Prince, Hey! Say! JUMP, KAT-TUN, NEWS, Kansai Johnny's Jr., Snow Man, Tomoyuki Yara, Travis Japan, Bi shonen, SixTONES, HiHi Jets, Kis-My-Ft2, Koichi Domoto",United States,2021-08-27,2021,TV-PG,3 Seasons,"Docuseries, International TV Shows",Take a deep dive into the beautiful world of Japan's top male idol groups from number one producer Johnny's in this revealing docuseries.,8,August,2021,Docuseries, International TV Shows,0,3
218,TV Show,Titletown High,Data not available,Data not available,United States,2021-08-27,2021,TV-14,1 Season,"Reality TV, Teen TV Shows","In a Georgia town where football rules and winning is paramount, a high school team tackles romance, rivalries and real life while vying for a title.",8,August,2021,Reality TV, Teen TV Shows,0,1
219,TV Show,EDENS ZERO,Data not available,"Takuma Terashima, Mikako Komatsu, Rie Kugimiya, Hiromichi Tezuka, Shiori Izawa, Shiki Aoki, Sayaka Ohara, Hochu Otsuka, Kikuko Inoue",Japan,2021-08-26,2021,TV-14,1 Season,"Anime Series, International TV Shows","Aboard the Edens Zero, a lonely boy with the ability to control gravity embarks on an adventure to meet the fabled space goddess known as Mother.",8,August,2021,Anime Series, International TV Shows,0,1
220,TV Show,Family Reunion,Data not available,"Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson, Isaiah Russell-Bailey, Cameron J. Wright, Jordyn Raya James, Richard Roundtree",United States,2021-08-26,2021,TV-PG,4 Seasons,"Kids' TV, TV Comedies","When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways.",8,August,2021,Kids' TV, TV Comedies,0,4
222,TV Show,Clickbait,Brad Anderson,"Zoe Kazan, Betty Gabriel, Adrian Grenier, Phoenix Raei, Abraham Lim, Jessica Collins, Camaron Engels, Jaylin Fletcher, Liz Alexander, Joyce Guy, Daniel Henshall, Ian Meadows, Jamie Timony, Steve Mouzakis, Becca Lish",United States,2021-08-25,2021,TV-MA,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries","When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why.",8,August,2021,Crime TV Shows, TV Dramas, TV Mysteries,1
223,TV Show,John of God: The Crimes of a Spiritual Healer,"Mauricio Dias, Tatiana Villela",Data not available,United States,2021-08-25,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","Idolized medium João Teixeira de Faria rises to international fame before horrifying abuse is revealed by survivors, prosecutors and the press.",8,August,2021,Crime TV Shows, Docuseries, International TV Shows,1
224,TV Show,Motel Makeover,Data not available,Data not available,United States,2021-08-25,2021,TV-14,1 Season,"International TV Shows, Reality TV","Amid project pitfalls and a pandemic, besties-turned-business partners bring their design magic to a rundown motel and revamp it into a go-to getaway.",8,August,2021,International TV Shows, Reality TV,0,1
225,TV Show,Open Your Eyes,Data not available,"Maria Wawreniuk, Ignacy Liss, Michał Sikorski, Wojciech Dolatowski, Klaudia Koścista, Zuzanna Galewicz, Marta Nieradkiewicz, Sara Celler Jezierska, Pola Król, Marcin Czarnik, Martyna Nowakowska",United States,2021-08-25,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","After a tragic accident, an amnesiac teen tries to rebuild her life at a memory disorders center but becomes suspicious of her unconventional treatment.",8,August,2021,International TV Shows, TV Dramas, TV Mysteries,1
226,TV Show,Post Mortem: No One Dies in Skarnes,Data not available,"Kathrine Thorborg Johansen, Elias Holmen Sørensen, André Sørum, Kim Fairchild, Sara Khorami, Terje Strømdahl, Øystein Røger, Marianne Jonger, Martin Karelius",United States,2021-08-25,2021,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas","She's back from the dead and has a newfound thirst for blood. Meanwhile, her family's funeral parlor desperately needs more business. Hmm, what if...",8,August,2021,International TV Shows, TV Comedies, TV Dramas,1
232,TV Show,Wheel of Fortune,Data not available,"Pat Sajak, Vanna White",United States,2021-08-25,2019,TV-G,3 Seasons,Reality TV,"Pat Sajak and Vanna White host one of TV's most popular, long-running game shows, where players spin a wheel for prizes and solve mystery phrases.",8,August,2021,Reality TV,0,0,3
234,TV Show,Oggy Oggy,Data not available,Data not available,United States,2021-08-24,2021,TV-Y,1 Season,"Kids' TV, TV Comedies",Join adorable kitten Oggy and his cast of cat pals in a bright and colorful kitty world. They're always on the go for fun times and fantastic adventures!,8,August,2021,Kids' TV, TV Comedies,0,1
241,TV Show,Manifest,Data not available,"Melissa Roxburgh, Josh Dallas, Athena Karkanis, J.R. Ramirez, Luna Blaise, Jack Messina, Parveen Kaur",United States,2021-08-21,2021,TV-14,3 Seasons,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy","When a plane mysteriously lands years after takeoff, the people onboard return to a world that has moved on without them and face strange, new realities.",8,August,2021,TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy,3
242,TV Show,Comedy Premium League,Data not available,Data not available,United States,2021-08-20,2021,TV-MA,1 Season,"International TV Shows, TV Comedies","With satirical sketches, cheeky debates and blistering roasts, 16 of India’s wittiest entertainers compete in teams to be named the ultimate comedy champs.",8,August,2021,International TV Shows, TV Comedies,0,1
243,TV Show,Everything Will Be Fine,Data not available,"Lucía Uribe, Flavio Medina, Isabella Vazquez Morales, Pierre Louis, Mercedes Hernández",United States,2021-08-20,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",A separated couple live together for their child's sake in this satirical dramedy about what it means to be a good parent and spouse in today's world.,8,August,2021,International TV Shows, Spanish-Language TV Shows, TV Comedies,1
245,TV Show,Korean Cold Noodle Rhapsody,Data not available,Paik Jong-won,United States,2021-08-20,2021,TV-PG,1 Season,"Docuseries, International TV Shows","Refreshing and flavorful, naengmyeon is Korea's coolest summertime staple. A journey through its history begins, from how it's cooked to how it's loved.",8,August,2021,Docuseries, International TV Shows,0,1
248,TV Show,The Chair,Data not available,"Sandra Oh, Jay Duplass, Holland Taylor, David Morse, Bob Balaban, Nana Mensah, Everly Carganilla",United States,2021-08-20,2021,TV-MA,1 Season,"TV Comedies, TV Dramas","At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department.",8,August,2021,TV Comedies, TV Dramas,0,1
254,TV Show,Go! Go! Cory Carson,Data not available,"Alan C. Lim, Paul Killam, Maisie Benson, Kerry Gudjohnsen, Smith Foreman, Neena-Sinaii Simpo, Eli Morse, Adelaide Hirasaki, Jim Capobianco, Anna Chambers, Pfifer Chastain",United States,2021-08-18,2021,TV-Y,5 Seasons,Kids' TV,"Beep, beep – go, go! Buckle up for fun and adventure with adorable kid car Cory Carson as he explores the winding roads of Bumperton Hills.",8,August,2021,Kids' TV,0,0,5
260,TV Show,The Defeated,Data not available,"Taylor Kitsch, Nina Hoss, Logan Marshall-Green, Michael C. Hall, Tuppence Middleton, Mala Emde, Maximilian Ehrenreich, Sebastian Koch, Anne Ratte-Polle, Lena Dörrie, Benjamin Sadler",United States,2021-08-18,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","In 1946 Berlin, an American cop searches for his missing brother while helping a novice German policewoman fight the violent crimes engulfing the city.",8,August,2021,Crime TV Shows, International TV Shows, TV Dramas,1
263,TV Show,Mother Goose Club,Data not available,Data not available,United States,2021-08-16,2016,TV-Y,2 Seasons,Kids' TV,Classic nursery rhymes and children's songs get a fresh twist in this high-energy program that helps kids learn as they dance and sing along.,8,August,2021,Kids' TV,0,0,2
265,TV Show,Rascal Does Not Dream of Bunny Girl Senpai,Data not available,"Kaito Ishikawa, Asami Seto, Nao Toyama, Atsumi Tanezaki, Maaya Uchida, Yurika Kubo, Inori Minase",Japan,2021-08-15,2018,TV-14,1 Season,"Anime Series, International TV Shows, Romantic TV Shows","After experiencing ""puberty syndrome"" himself, high school pariah Sakuta keeps meeting girls suffering from it, including his sister and actor Mai.",8,August,2021,Anime Series, International TV Shows, Romantic TV Shows,1
266,TV Show,The Creative Indians,Data not available,Data not available,India,2021-08-15,2020,TV-MA,1 Season,"Docuseries, International TV Shows","From chefs and comedians to filmmakers and fashion designers, India’s most notable imaginative minds share their artistic journeys.",8,August,2021,Docuseries, International TV Shows,0,1
269,TV Show,Winx Club,Data not available,"Liza Jacqueline, Helena Evangeliou, Lisa Ortiz, Kerry Williams, Gregory Abbey, Dan Green, Michael Sinterniklaas, Suzy Myers, Christina Rodriguez, Dani Schaffel, Sebastian Arcelus, Rachael Lillis",Italy,2021-08-15,2015,TV-Y7,2 Seasons,Kids' TV,"In this animated fantasy, a girl named Bloom befriends a band of fairies, then follows them into the secretive and dangerous ""Magical Dimension.""",8,August,2021,Kids' TV,0,0,2
271,TV Show,Brand New Cherry Flavor,Data not available,"Rosa Salazar, Eric Lange, Catherine Keener, Jeff Ward, Manny Jacinto, Hannah Levien, Patrick Fischler",United States,2021-08-13,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries","A filmmaker heads to Hollywood in the early '90s to make her movie but tumbles down a hallucinatory rabbit hole of sex, magic, revenge — and kittens.",8,August,2021,TV Dramas, TV Horror, TV Mysteries,1
272,TV Show,Fast & Furious Spy Racers,Data not available,"Tyler Posey, Charlet Chung, Jorge Diaz, Camille Ramsey, Luke Youngblood, Renée Elise Goldsberry",United States,2021-08-13,2021,TV-Y7,5 Seasons,Kids' TV,A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.,8,August,2021,Kids' TV,0,0,5
273,TV Show,Gone for Good,Juan Carlos Medina,"Finnegan Oldfield, Nicolas Duvauchelle, Guillaume Gouix, Garance Marillier, Nailia Harzoune",France,2021-08-13,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Ten years after losing two loved ones, a man is plunged into another dizzying mystery when his girlfriend vanishes. Based on a Harlan Coben novel.",8,August,2021,Crime TV Shows, International TV Shows, TV Dramas,1
274,TV Show,Grace and Frankie,Data not available,"Jane Fonda, Lily Tomlin, Martin Sheen, Sam Waterston, June Diane Raphael, Brooklyn Decker, Ethan Embry, Baron Vaughn",United States,2021-08-13,2021,TV-MA,7 Seasons,"TV Comedies, TV Dramas","They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series.",8,August,2021,TV Comedies, TV Dramas,0,7
275,TV Show,The Kingdom,Data not available,"Chino Darín, Nancy Dupláa, Joaquín Furriel, Peter Lanzani, Mercedes Morán, Diego Peretti, Vera Spinetta, Nico García Hume, Victoria Almeida, Santiago Korovsky, Patricio Aramburu, Alfonso Tort, Diego Gentile, Néstor Guzzini, Daniel Kuzniecka",Argentina,2021-08-13,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","After his running mate's murder, a controversial televangelist becomes Argentina's presidential candidate. But nothing about him is as holy as he seems.",8,August,2021,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,1
